season_type,canonical_gender_code,canonical_event_code,best_regular_mark,best_outside_mark,best_ratified_mark,best_pending_mark,selected_active_mark,selected_status
indoor,f,1000M,2:37.72,,2:37.72,,2:37.72,ratified_active_anchor
indoor,f,1500M,4:01.60,,4:01.60,,4:01.60,ratified_active_anchor
indoor,f,200M,22.01,,22.01,,22.01,ratified_active_anchor
indoor,f,3000M,8:31.39,,8:31.39,,8:31.39,ratified_active_anchor
indoor,f,300M,35.80,,35.80,,35.80,ratified_active_anchor
indoor,f,400M,49.24,,49.24,,49.24,ratified_active_anchor
indoor,f,5000M,14:44.79,,14:44.79,,14:44.79,ratified_active_anchor
indoor,f,500M,1:08.40,,1:08.40,,1:08.40,ratified_active_anchor
indoor,f,600M,1:24.19,,1:24.19,,1:24.19,ratified_active_anchor
indoor,f,60H,7.72,,7.72,,7.72,ratified_active_anchor
indoor,f,60M,6.94,,6.94,,6.94,ratified_active_anchor
indoor,f,800M,1:58.40,,1:58.40,,1:58.40,ratified_active_anchor
indoor,f,HJ,2.00,,2.00,,2.00,ratified_active_anchor
indoor,f,LJ,7.03,,7.03,,7.03,ratified_active_anchor
indoor,f,MILE,4:20.61,,4:20.61,,4:20.61,ratified_active_anchor
indoor,f,PENT,4746,,4746,,4746,ratified_active_anchor
indoor,f,PV,4.91,,4.91,,4.91,ratified_active_anchor
indoor,f,SP,19.75,,19.75,,19.75,ratified_active_anchor
indoor,f,TJ,15.12,,15.12,,15.12,ratified_active_anchor
indoor,f,WT,25.56,,25.56,,25.56,ratified_active_anchor
indoor,m,1000M,2:16.84,,2:16.84,,2:16.84,ratified_active_anchor
indoor,m,1500M,3:33.41,,3:33.41,,3:33.41,ratified_active_anchor
indoor,m,200M,19.95,,19.95,,19.95,ratified_active_anchor
indoor,m,3000M,7:30.15,,7:30.15,,7:30.15,ratified_active_anchor
indoor,m,300M,31.99,,31.99,,31.99,ratified_active_anchor
indoor,m,400M,44.49,,44.49,,44.49,ratified_active_anchor
indoor,m,5000M,12:57.14,,12:57.14,,12:57.14,ratified_active_anchor
indoor,m,500M,1:00.63,,1:00.63,,1:00.63,ratified_active_anchor
indoor,m,600M,1:14.67,,1:14.67,,1:14.67,ratified_active_anchor
indoor,m,60H,7.32,,7.32,,7.32,ratified_active_anchor
indoor,m,60M,6.45,,6.45,,6.45,ratified_active_anchor
indoor,m,800M,1:44.70,,1:44.70,,1:44.70,ratified_active_anchor
indoor,m,HEP,6639,,6639,,6639,ratified_active_anchor
indoor,m,HJ,2.37,,2.37,,2.37,ratified_active_anchor
indoor,m,LJ,8.59,,8.59,,8.59,ratified_active_anchor
indoor,m,MILE,3:48.32,,3:48.32,,3:48.32,ratified_active_anchor
indoor,m,PV,6.00,,6.00,,6.00,ratified_active_anchor
indoor,m,SP,21.85,,21.85,,21.85,ratified_active_anchor
indoor,m,TJ,17.54,,17.54,,17.54,ratified_active_anchor
indoor,m,WT,25.66,,25.66,,25.66,ratified_active_anchor
outdoor,f,10000M,30:46.80,,30:50.43,30:46.80,30:46.80,pending_active_anchor
outdoor,f,100H,12.36,,12.36,,12.36,ratified_active_anchor
outdoor,f,100M,10.63,,10.75,10.63,10.63,pending_active_anchor
outdoor,f,1500M,3:59.90,,3:59.90,,3:59.90,ratified_active_anchor
outdoor,f,200M,21.68,,21.77,21.68,21.68,pending_active_anchor
outdoor,f,3000M,8:35.20,,8:35.20,,8:35.20,ratified_active_anchor
outdoor,f,3000SC,8:58.15,,8:58.15,,8:58.15,ratified_active_anchor
outdoor,f,400H,52.46,,52.46,,52.46,ratified_active_anchor
outdoor,f,400M,48.79,,48.89,48.79,48.79,pending_active_anchor
outdoor,f,5000M,14:44.79,,14:44.79,,14:44.79,ratified_active_anchor
outdoor,f,800M,1:56.85,,1:57.73,1:56.85,1:56.85,pending_active_anchor
outdoor,f,DT,70.22,,70.22,,70.22,ratified_active_anchor
outdoor,f,HEP,6755,,6755,,6755,ratified_active_anchor
outdoor,f,HJ,2.03,,2.03,,2.03,ratified_active_anchor
outdoor,f,HT,77.67,,77.67,,77.67,ratified_active_anchor
outdoor,f,JT,64.19,,64.19,,64.19,ratified_active_anchor
outdoor,f,LJ,7.14,,7.14,,7.14,ratified_active_anchor
outdoor,f,MILE,4:23.46,,4:23.46,,4:23.46,ratified_active_anchor
outdoor,f,PV,4.91,,4.91,,4.91,ratified_active_anchor
outdoor,f,SP,20.01,,20.01,,20.01,ratified_active_anchor
outdoor,f,TJ,15.12,,15.12,,15.12,ratified_active_anchor
outdoor,m,10000M,26:50.21,,26:50.21,,26:50.21,ratified_active_anchor
outdoor,m,100M,9.82,,9.82,,9.82,ratified_active_anchor
outdoor,m,110H,12.75,,12.98,12.75,12.75,pending_active_anchor
outdoor,m,1500M,3:31.04,,3:31.04,3:31.69,3:31.04,ratified_active_anchor
outdoor,m,200M,19.63,,19.69,19.63,19.63,pending_active_anchor
outdoor,m,3000M,7:30.15,,7:30.15,,7:30.15,ratified_active_anchor
outdoor,m,3000SC,8:05.4,,8:05.4,8:11.92,8:05.4,ratified_active_anchor
outdoor,m,400H,47.02,,47.02,,47.02,ratified_active_anchor
outdoor,m,400M,43.38,,43.61,43.38,43.38,pending_active_anchor
outdoor,m,5000M,12:57.14,,12:57.14,,12:57.14,ratified_active_anchor
outdoor,m,800M,1:41.77,,1:41.77,,1:41.77,ratified_active_anchor
outdoor,m,DEC,8961,,8961,,8961,ratified_active_anchor
outdoor,m,DT,75.56,,75.56,,75.56,ratified_active_anchor
outdoor,m,HJ,2.38,,2.38,,2.38,ratified_active_anchor
outdoor,m,HT,82.56,,82.56,,82.56,ratified_active_anchor
outdoor,m,JT,89.10,,89.10,,89.10,ratified_active_anchor
outdoor,m,LJ,8.74,,8.74,,8.74,ratified_active_anchor
outdoor,m,MILE,3:48.32,,3:48.32,,3:48.32,ratified_active_anchor
outdoor,m,PV,6.00,,6.00,,6.00,ratified_active_anchor
outdoor,m,SP,22.00,,22.00,,22.00,ratified_active_anchor
outdoor,m,TJ,17.87,,17.87,,17.87,ratified_active_anchor
